"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block","accuracy","slider_start","choices","standardized_response"
"street view slide show","image-button-response","60","240621","0.0-60.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_4062/IMG_7_4062.jpg","null","","","","","","3","","","",""
"street view slide show","image-button-response","61","241634","0.0-61.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_4062/IMG_11_4062.jpg","null","","","","","","3","","","",""
"street view slide show","image-button-response","62","242638","0.0-62.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_4062/IMG_8_4062.jpg","null","","","","","","3","","","",""
"street view slide show","image-button-response","63","243650","0.0-63.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_4062/IMG_6_4062.jpg","null","","","","","","3","","","",""
"street view slide show","image-button-response","64","244667","0.0-64.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_4062/IMG_14_4062.jpg","null","","","","","","3","","","",""
"street view slide show","image-button-response","65","245679","0.0-65.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_4062/IMG_2_4062.jpg","null","","","","","","3","","","",""
"street view slide show","image-button-response","66","246683","0.0-66.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_4062/IMG_3_4062.jpg","null","","","","","","3","","","",""
"dot matrix survey1","survey","67","261335","0.0-67.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","14643","","{""P0_Q0"":null,""P0_Q1"":{""wealthy"":1,""safe"":3,""walkable"":1,""traditional"":3,""diverse"":3}}","","","","","","3","[]","","",""
"dot matrix survey2","survey","68","268404","0.0-68.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","7064","","{""P0_Q0"":null,""P0_Q1"":{""violence"":2,""crime"":2,""drug"":2,""schools"":2,""opportunities"":2}}","","","","","","3","[]","","",""
"dot matrix survey3","survey","69","286397","0.0-69.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","17988","","{""P0_Q0"":null,""P0_Q1"":{""movein"":2,""moveout"":2,""shopping"":2,""walk"":4,""park"":2,""school"":2}}","","","","","","3","[]","","",""
"sliderTrial","html-slider-response","70","288848","0.0-70.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","2449","[""SV_PolicingMSA/FL_4062/IMG_9_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_7_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_11_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_8_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_6_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_14_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_2_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_3_4062.jpg""]","5","","","","","","3","","4","[""./rc_img/cop_condGroup_18_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_18_CommunitySafety_autoscaled.png""]","3"
"sliderTrial","html-slider-response","71","290862","0.0-71.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","2012","[""SV_PolicingMSA/FL_4062/IMG_9_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_7_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_11_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_8_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_6_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_14_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_2_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_3_4062.jpg""]","5","","","","","","3","","4","[""./rc_img/cop_condGroup_4_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_4_CommunitySafety_autoscaled.png""]","3"
"sliderTrial","html-slider-response","72","292537","0.0-72.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","1671","[""SV_PolicingMSA/FL_4062/IMG_9_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_7_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_11_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_8_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_6_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_14_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_2_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_3_4062.jpg""]","5","","","","","","3","","4","[""./rc_img/cop_condGroup_14_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_14_CommunitySafety_autoscaled.png""]","3"
"sliderTrial","html-slider-response","73","294646","0.0-73.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","2107","[""SV_PolicingMSA/FL_4062/IMG_9_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_7_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_11_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_8_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_6_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_14_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_2_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_3_4062.jpg""]","5","","","","","","3","","4","[""./rc_img/cop_condGroup_11_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_11_SafeStreets_autoscaled.png""]","5"
"sliderTrial","html-slider-response","74","296922","0.0-74.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","2273","[""SV_PolicingMSA/FL_4062/IMG_9_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_7_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_11_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_8_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_6_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_14_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_2_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_3_4062.jpg""]","5","","","","","","3","","4","[""./rc_img/cop_condGroup_10_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_10_CommunitySafety_autoscaled.png""]","3"
"half-way","html-button-response","75","312686","0.0-75.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","null","
    <h3>You are now half way through the study.</h3>
    <p>Please take a quick, 15-second break before you continue.</p>
    <img src='assets/img/countdown-15.gif'>
    <p>The study will automatically advance forward after the countdown is complete. <br> However, you may click ""Next"" to advance forward now if you wish.</p>
    ","null","","","","","","","","","",""
"before_SVSlide_prompt","html-button-response","76","313962","0.0-76.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","1275","Click [Next] to see the next neighborhood!","0","","","","","","","","","",""
"street view slide show","image-button-response","77","314967","0.0-77.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_1410/IMG_8_1410.jpg","null","","","","","","2","","","",""
"street view slide show","image-button-response","78","315974","0.0-78.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_1410/IMG_9_1410.jpg","null","","","","","","2","","","",""
"street view slide show","image-button-response","79","316989","0.0-79.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_1410/IMG_1_1410.jpg","null","","","","","","2","","","",""
"street view slide show","image-button-response","80","317996","0.0-80.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_1410/IMG_5_1410.jpg","null","","","","","","2","","","",""
"street view slide show","image-button-response","81","319008","0.0-81.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_1410/IMG_10_1410.jpg","null","","","","","","2","","","",""
"street view slide show","image-button-response","82","320013","0.0-82.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_1410/IMG_11_1410.jpg","null","","","","","","2","","","",""
"street view slide show","image-button-response","83","321023","0.0-83.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_1410/IMG_4_1410.jpg","null","","","","","","2","","","",""
"street view slide show","image-button-response","84","322040","0.0-84.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_1410/IMG_6_1410.jpg","null","","","","","","2","","","",""
"dot matrix survey1","survey","85","341057","0.0-85.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","19007","","{""P0_Q0"":null,""P0_Q1"":{""wealthy"":1,""safe"":4,""walkable"":1,""traditional"":3,""diverse"":3}}","","","","","","2","[]","","",""
"dot matrix survey2","survey","86","347512","0.0-86.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","6450","","{""P0_Q0"":null,""P0_Q1"":{""violence"":2,""crime"":2,""drug"":2,""schools"":2,""opportunities"":2}}","","","","","","2","[]","","",""
"dot matrix survey3","survey","87","363964","0.0-87.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","16447","","{""P0_Q0"":null,""P0_Q1"":{""movein"":3,""moveout"":1,""shopping"":3,""walk"":4,""park"":3,""school"":3}}","","","","","","2","[]","","",""
"sliderTrial","html-slider-response","88","367224","0.0-88.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","3258","[""SV_PolicingMSA/FL_1410/IMG_8_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_9_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_1_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_5_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_10_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_11_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_4_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_6_1410.jpg""]","6","","","","","","2","","4","[""./rc_img/cop_condGroup_20_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_20_SafeStreets_autoscaled.png""]","6"
"sliderTrial","html-slider-response","89","375928","0.0-89.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","8701","[""SV_PolicingMSA/FL_1410/IMG_8_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_9_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_1_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_5_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_10_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_11_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_4_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_6_1410.jpg""]","6","","","","","","2","","4","[""./rc_img/cop_condGroup_7_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_7_CommunitySafety_autoscaled.png""]","2"
"sliderTrial","html-slider-response","90","386216","0.0-90.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","10285","[""SV_PolicingMSA/FL_1410/IMG_8_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_9_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_1_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_5_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_10_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_11_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_4_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_6_1410.jpg""]","2","","","","","","2","","4","[""./rc_img/cop_condGroup_12_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_12_SafeStreets_autoscaled.png""]","2"
"sliderTrial","html-slider-response","91","394010","0.0-91.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","7791","[""SV_PolicingMSA/FL_1410/IMG_8_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_9_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_1_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_5_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_10_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_11_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_4_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_6_1410.jpg""]","2","","","","","","2","","4","[""./rc_img/cop_condGroup_3_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_3_SafeStreets_autoscaled.png""]","2"
"sliderTrial","html-slider-response","92","400056","0.0-92.0","","656776a7904ae00d6b91d1dd","6568ad06b4e3de66108f4e3e","10","","","","","","","","","","","","6043","[""SV_PolicingMSA/FL_1410/IMG_8_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_9_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_1_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_5_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_10_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_11_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_4_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_6_1410.jpg""]","5","","","","","","2","","4","[""./rc_img/cop_condGroup_5_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_5_CommunitySafety_autoscaled.png""]","3"
