"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block","accuracy","slider_start","choices","standardized_response","correct"
"street view slide show","image-button-response","62","441222","0.0-62.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NJ_1052/IMG_12_1052.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","63","442240","0.0-63.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NJ_1052/IMG_4_1052.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","64","443257","0.0-64.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NJ_1052/IMG_3_1052.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","65","444275","0.0-65.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NJ_1052/IMG_0_1052.jpg","null","","","","","","3","","","","",""
"dot matrix survey1","survey","66","464371","0.0-66.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","20051","","{""P0_Q0"":null,""P0_Q1"":{""wealthy"":1,""safe"":2,""walkable"":2,""traditional"":3,""diverse"":2}}","","","","","","3","[]","","","",""
"dot matrix survey2","survey","67","483887","0.0-67.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","19509","","{""P0_Q0"":null,""P0_Q1"":{""violence"":1,""crime"":1,""drug"":2,""schools"":2,""opportunities"":2}}","","","","","","3","[]","","","",""
"dot matrix survey3","survey","68","503959","0.0-68.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","20076","","{""P0_Q0"":null,""P0_Q1"":{""movein"":2,""moveout"":1,""shopping"":2,""walk"":1,""park"":2,""school"":2}}","","","","","","3","[]","","","",""
"sliderTrial","html-slider-response","69","509065","0.0-69.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","5104","[""SV_PolicingMSA/NJ_1052/IMG_10_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_13_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_5_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_11_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_12_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_4_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_3_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_0_1052.jpg""]","5","","","","","","3","","4","[""./rc_img/cop_condGroup_18_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_18_CommunitySafety_autoscaled.png""]","3",""
"sliderTrial","html-slider-response","70","513050","0.0-70.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","3983","[""SV_PolicingMSA/NJ_1052/IMG_10_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_13_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_5_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_11_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_12_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_4_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_3_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_0_1052.jpg""]","5","","","","","","3","","4","[""./rc_img/cop_condGroup_12_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_12_CommunitySafety_autoscaled.png""]","3",""
"sliderTrial","html-slider-response","71","518088","0.0-71.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","5037","[""SV_PolicingMSA/NJ_1052/IMG_10_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_13_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_5_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_11_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_12_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_4_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_3_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_0_1052.jpg""]","4","","","","","","3","","4","[""./rc_img/cop_condGroup_7_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_7_CommunitySafety_autoscaled.png""]","4",""
"sliderTrial","html-slider-response","72","521666","0.0-72.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","3577","[""SV_PolicingMSA/NJ_1052/IMG_10_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_13_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_5_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_11_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_12_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_4_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_3_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_0_1052.jpg""]","5","","","","","","3","","4","[""./rc_img/cop_condGroup_5_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_5_CommunitySafety_autoscaled.png""]","3",""
"sliderTrial","html-slider-response","73","527300","0.0-73.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","5633","[""SV_PolicingMSA/NJ_1052/IMG_10_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_13_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_5_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_11_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_12_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_4_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_3_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_0_1052.jpg""]","4","","","","","","3","","4","[""./rc_img/cop_condGroup_15_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_15_SafeStreets_autoscaled.png""]","4",""
"half-way","html-button-response","74","540229","0.0-74.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","12928","
    <h3>You are now half way through the study.</h3>
    <p>Please take a quick, 15-second break before you continue.</p>
    <img src='assets/img/countdown-15.gif'>
    <p>The study will automatically advance forward after the countdown is complete. <br> However, you may click ""Next"" to advance forward now if you wish.</p>
    ","0","","","","","","","","","","",""
"before_SVSlide_prompt","html-button-response","75","543415","0.0-75.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","3185","Click [Next] to see the next neighborhood!","0","","","","","","","","","","",""
"street view slide show","image-button-response","76","544430","0.0-76.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_2731/IMG_2_2731.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","77","545436","0.0-77.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_2731/IMG_9_2731.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","78","546451","0.0-78.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_2731/IMG_3_2731.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","79","547453","0.0-79.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_2731/IMG_11_2731.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","80","548469","0.0-80.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_2731/IMG_5_2731.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","81","549472","0.0-81.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_2731/IMG_8_2731.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","82","550488","0.0-82.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_2731/IMG_12_2731.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","83","551492","0.0-83.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_2731/IMG_10_2731.jpg","null","","","","","","3","","","","",""
"dot matrix survey1","survey","84","572746","0.0-84.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","21220","","{""P0_Q0"":null,""P0_Q1"":{""wealthy"":1,""safe"":2,""walkable"":2,""traditional"":1,""diverse"":2}}","","","","","","3","[]","","","",""
"dot matrix survey2","survey","85","583916","0.0-85.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","11165","","{""P0_Q0"":null,""P0_Q1"":{""violence"":2,""crime"":2,""drug"":2,""schools"":2,""opportunities"":1}}","","","","","","3","[]","","","",""
"dot matrix survey3","survey","86","607405","0.0-86.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","23484","","{""P0_Q0"":null,""P0_Q1"":{""movein"":1,""moveout"":2,""shopping"":1,""walk"":1,""park"":1,""school"":2}}","","","","","","3","[]","","","",""
"sliderTrial","html-slider-response","87","613594","0.0-87.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","6188","[""SV_PolicingMSA/NY_2731/IMG_2_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_9_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_3_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_11_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_5_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_8_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_12_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_10_2731.jpg""]","4","","","","","","3","","4","[""./rc_img/cop_condGroup_2_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_2_SafeStreets_autoscaled.png""]","4",""
"sliderTrial","html-slider-response","88","616504","0.0-88.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","2908","[""SV_PolicingMSA/NY_2731/IMG_2_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_9_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_3_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_11_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_5_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_8_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_12_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_10_2731.jpg""]","4","","","","","","3","","4","[""./rc_img/cop_condGroup_17_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_17_CommunitySafety_autoscaled.png""]","4",""
"sliderTrial","html-slider-response","89","618761","0.0-89.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","2256","[""SV_PolicingMSA/NY_2731/IMG_2_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_9_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_3_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_11_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_5_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_8_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_12_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_10_2731.jpg""]","4","","","","","","3","","4","[""./rc_img/cop_condGroup_14_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_14_CommunitySafety_autoscaled.png""]","4",""
"sliderTrial","html-slider-response","90","621435","0.0-90.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","2673","[""SV_PolicingMSA/NY_2731/IMG_2_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_9_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_3_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_11_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_5_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_8_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_12_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_10_2731.jpg""]","4","","","","","","3","","4","[""./rc_img/cop_condGroup_1_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_1_CommunitySafety_autoscaled.png""]","4",""
"sliderTrial","html-slider-response","91","624388","0.0-91.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","2952","[""SV_PolicingMSA/NY_2731/IMG_2_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_9_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_3_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_11_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_5_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_8_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_12_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_10_2731.jpg""]","4","","","","","","3","","4","[""./rc_img/cop_condGroup_6_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_6_SafeStreets_autoscaled.png""]","4",""
"before_SVSlide_prompt","html-button-response","92","628437","0.0-92.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","4048","Click [Next] to see the next neighborhood!","0","","","","","","","","","","",""
"street view slide show","image-button-response","93","629453","0.0-93.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_2726/IMG_11_2726.jpg","null","","","","","","2","","","","",""
"street view slide show","image-button-response","94","630467","0.0-94.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_2726/IMG_14_2726.jpg","null","","","","","","2","","","","",""
"street view slide show","image-button-response","95","631484","0.0-95.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_2726/IMG_3_2726.jpg","null","","","","","","2","","","","",""
"street view slide show","image-button-response","96","632500","0.0-96.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_2726/IMG_1_2726.jpg","null","","","","","","2","","","","",""
"street view slide show","image-button-response","97","633518","0.0-97.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_2726/IMG_10_2726.jpg","null","","","","","","2","","","","",""
"street view slide show","image-button-response","98","634525","0.0-98.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_2726/IMG_12_2726.jpg","null","","","","","","2","","","","",""
"street view slide show","image-button-response","99","635540","0.0-99.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_2726/IMG_7_2726.jpg","null","","","","","","2","","","","",""
"street view slide show","image-button-response","100","636555","0.0-100.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_2726/IMG_2_2726.jpg","null","","","","","","2","","","","",""
"dot matrix survey1","survey","101","655777","0.0-101.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","19201","","{""P0_Q0"":null,""P0_Q1"":{""wealthy"":1,""safe"":2,""walkable"":2,""traditional"":2,""diverse"":1}}","","","","","","2","[]","","","",""
"dot matrix survey2","survey","102","668951","0.0-102.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","13168","","{""P0_Q0"":null,""P0_Q1"":{""violence"":2,""crime"":2,""drug"":2,""schools"":2,""opportunities"":1}}","","","","","","2","[]","","","",""
"dot matrix survey3","survey","103","689370","0.0-103.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","20414","","{""P0_Q0"":null,""P0_Q1"":{""movein"":1,""moveout"":2,""shopping"":2,""walk"":1,""park"":1,""school"":2}}","","","","","","2","[]","","","",""
"sliderTrial","html-slider-response","104","696659","0.0-104.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","7288","[""SV_PolicingMSA/NY_2726/IMG_11_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_14_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_3_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_1_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_10_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_12_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_7_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_2_2726.jpg""]","3","","","","","","2","","4","[""./rc_img/cop_condGroup_9_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_9_SafeStreets_autoscaled.png""]","3",""
"sliderTrial","html-slider-response","105","700093","0.0-105.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","3433","[""SV_PolicingMSA/NY_2726/IMG_11_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_14_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_3_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_1_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_10_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_12_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_7_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_2_2726.jpg""]","5","","","","","","2","","4","[""./rc_img/cop_condGroup_8_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_8_CommunitySafety_autoscaled.png""]","3",""
"sliderTrial","html-slider-response","106","702716","0.0-106.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","2622","[""SV_PolicingMSA/NY_2726/IMG_11_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_14_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_3_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_1_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_10_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_12_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_7_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_2_2726.jpg""]","5","","","","","","2","","4","[""./rc_img/cop_condGroup_19_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_19_CommunitySafety_autoscaled.png""]","3",""
"sliderTrial","html-slider-response","107","706637","0.0-107.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","3920","[""SV_PolicingMSA/NY_2726/IMG_11_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_14_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_3_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_1_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_10_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_12_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_7_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_2_2726.jpg""]","4","","","","","","2","","4","[""./rc_img/cop_condGroup_13_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_13_CommunitySafety_autoscaled.png""]","4",""
"sliderTrial","html-slider-response","108","710815","0.0-108.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","4177","[""SV_PolicingMSA/NY_2726/IMG_11_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_14_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_3_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_1_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_10_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_12_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_7_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_2_2726.jpg""]","3","","","","","","2","","4","[""./rc_img/cop_condGroup_10_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_10_SafeStreets_autoscaled.png""]","3",""
"before_SVSlide_prompt","html-button-response","109","713305","0.0-109.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","2489","Click [Next] to see the next neighborhood!","0","","","","","","","","","","",""
"street view slide show","image-button-response","110","714317","0.0-110.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_5249/IMG_1_5249.jpg","null","","","","","","1","","","","",""
"street view slide show","image-button-response","111","715321","0.0-111.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_5249/IMG_7_5249.jpg","null","","","","","","1","","","","",""
"street view slide show","image-button-response","112","716336","0.0-112.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_5249/IMG_8_5249.jpg","null","","","","","","1","","","","",""
"street view slide show","image-button-response","113","717339","0.0-113.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_5249/IMG_11_5249.jpg","null","","","","","","1","","","","",""
"street view slide show","image-button-response","114","718355","0.0-114.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_5249/IMG_10_5249.jpg","null","","","","","","1","","","","",""
"street view slide show","image-button-response","115","719359","0.0-115.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_5249/IMG_0_5249.jpg","null","","","","","","1","","","","",""
"street view slide show","image-button-response","116","720374","0.0-116.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_5249/IMG_4_5249.jpg","null","","","","","","1","","","","",""
"street view slide show","image-button-response","117","721377","0.0-117.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/NY_5249/IMG_9_5249.jpg","null","","","","","","1","","","","",""
"dot matrix survey1","survey","118","738729","0.0-118.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","17314","","{""P0_Q0"":null,""P0_Q1"":{""wealthy"":2,""safe"":2,""walkable"":2,""traditional"":3,""diverse"":2}}","","","","","","1","[]","","","",""
"dot matrix survey2","survey","119","755009","0.0-119.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","16275","","{""P0_Q0"":null,""P0_Q1"":{""violence"":1,""crime"":1,""drug"":2,""schools"":2,""opportunities"":3}}","","","","","","1","[]","","","",""
"dot matrix survey3","survey","120","773052","0.0-120.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","18037","","{""P0_Q0"":null,""P0_Q1"":{""movein"":2,""moveout"":1,""shopping"":2,""walk"":1,""park"":2,""school"":2}}","","","","","","1","[]","","","",""
"sliderTrial_attention","html-slider-response","121","783065","0.0-121.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","null","[""SV_PolicingMSA/NY_5249/IMG_1_5249.jpg"",""SV_PolicingMSA/NY_5249/IMG_7_5249.jpg"",""SV_PolicingMSA/NY_5249/IMG_8_5249.jpg"",""SV_PolicingMSA/NY_5249/IMG_11_5249.jpg"",""SV_PolicingMSA/NY_5249/IMG_10_5249.jpg"",""SV_PolicingMSA/NY_5249/IMG_0_5249.jpg"",""SV_PolicingMSA/NY_5249/IMG_4_5249.jpg"",""SV_PolicingMSA/NY_5249/IMG_9_5249.jpg""]","null","","","","","","1","","4","[""./assets/img/attnchk.png"",""./assets/img/attnchk.png""]","","true"
"sliderTrial","html-slider-response","122","797544","0.0-122.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","14473","[""SV_PolicingMSA/NY_5249/IMG_1_5249.jpg"",""SV_PolicingMSA/NY_5249/IMG_7_5249.jpg"",""SV_PolicingMSA/NY_5249/IMG_8_5249.jpg"",""SV_PolicingMSA/NY_5249/IMG_11_5249.jpg"",""SV_PolicingMSA/NY_5249/IMG_10_5249.jpg"",""SV_PolicingMSA/NY_5249/IMG_0_5249.jpg"",""SV_PolicingMSA/NY_5249/IMG_4_5249.jpg"",""SV_PolicingMSA/NY_5249/IMG_9_5249.jpg""]","4","","","","","","1","","4","[""./rc_img/cop_condGroup_18_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_18_CommunitySafety_autoscaled.png""]","4",""
"sliderTrial","html-slider-response","123","812628","0.0-123.0","","656776a7904ae00d6b91d1dd","6568ae30b7219c39f9640f82","11","","","","","","","","","","","","15082","[""SV_PolicingMSA/NY_5249/IMG_1_5249.jpg"",""SV_PolicingMSA/NY_5249/IMG_7_5249.jpg"",""SV_PolicingMSA/NY_5249/IMG_8_5249.jpg"",""SV_PolicingMSA/NY_5249/IMG_11_5249.jpg"",""SV_PolicingMSA/NY_5249/IMG_10_5249.jpg"",""SV_PolicingMSA/NY_5249/IMG_0_5249.jpg"",""SV_PolicingMSA/NY_5249/IMG_4_5249.jpg"",""SV_PolicingMSA/NY_5249/IMG_9_5249.jpg""]","5","","","","","","1","","4","[""./rc_img/cop_condGroup_12_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_12_CommunitySafety_autoscaled.png""]","3",""
